Zila,Freq.,Positivity
Bagerhat,0,0
Bandarbon,0,0
Barisal,12,32.43
Bhola,16,34.78
Bogra,0,0
Borgona,0,0
Brahmanbaria,27,20
Chandpur,26,15.66
Chittagong,0,0
Choua Danga,0,0
Comilla,28,21.88
Cox's Bazar,0,0
Dhaka,130,14.71
Dinajpur,0,0
Faridpur,0,0
Feni,0,0
Gaibanda,0,0
Gazipur,33,17.28
Gopalgonj,0,0
Hobiganj,0,0
Jamalpur,0,0
Jessore,0,0
Jhalakati,0,0
Jhenaidah,0,0
Khagrachari,0,0
Khulna,0,0
Kishoreganj,14,27.45
Kurigram,0,0
Kustia,0,0
Lakshmipur,16,20.25
Lalmonirhat,0,0
Madaripur,0,0
Magura,0,0
Manikgonj,14,23.33
Meherpur,0,0
Moulvibazar,0,0
Munshigonj,0,0
Naogaon,0,0
Narail,0,0
Naray Angonj,13,13.98
Narshingdi,20,25
Nasirabad,0,0
Natore,0,0
Nawabganj,0,0
Netrakona,0,0
Nilphamari,0,0
Noakhali,36,24.49
Pabna,0,0
Panchagarh,0,0
Parbattya Chattagram,0,0
Patuakhali,0,0
Pirojpur,0,0
Rajbari,0,0
Rajshahi,0,0
Rongpur,0,0
Shariatpur,0,0
Shatkhira,0,0
Sherpur,0,0
Sirajgonj,0,0
Sun Amgonj,0,0
Sylhet,0,0
Tangail,14,17.72
Thakurgaon,0,0
Jaipurhat,0,0
