month,year,positivity
Jan,2015,0.21
Jan,2016,0.18
Jan,2017,0.21
Jan,2018,0.11
Jan,2019,0.21
Jan,2020,0.14
Jan,2021,0.25
Jan,2022,0.18
Feb,2015,0.29
Feb,2016,0.12
Feb,2017,0.51
Feb,2018,0
Feb,2019,0.21
Feb,2020,0.5
Feb,2021,0.21
Feb,2022,0.21
Mar,2015,0.36
Mar,2016,0.5
Mar,2017,0.31
Mar,2018,0.13
Mar,2019,0.18
Mar,2020,0.09
Mar,2021,0.59
Mar,2022,0.25
Apr,2015,0
Apr,2016,0.03
Apr,2017,0.14
Apr,2018,0.12
Apr,2019,0.13
Apr,2020,0.47
Apr,2021,0.35
Apr,2022,0.32
May,2015,0.13
May,2016,0.04
May,2017,0.4
May,2018,0.07
May,2019,0.21
May,2020,0
May,2021,0.31
May,2022,0.09
Jun,2015,0.17
Jun,2016,0.11
Jun,2017,0.14
Jun,2018,0.09
Jun,2019,0.22
Jun,2020,0
Jun,2021,0.31
Jun,2022,0.25
Jul,2015,0.06
Jul,2016,0.19
Jul,2017,0.16
Jul,2018,0.16
Jul,2019,0.13
Jul,2020,0
Jul,2021,0.2
Jul,2022,0.24
Aug,2015,0.11
Aug,2016,0.08
Aug,2017,0.14
Aug,2018,0.16
Aug,2019,0.29
Aug,2020,0.07
Aug,2021,0.22
Aug,2022,0.04
Sep,2015,0.14
Sep,2016,0.13
Sep,2017,0.2
Sep,2018,0.21
Sep,2019,0.25
Sep,2020,0.33
Sep,2021,0.44
Sep,2022,0.27
Oct,2015,0.1
Oct,2016,0.1
Oct,2017,0.11
Oct,2018,0.13
Oct,2019,0.09
Oct,2020,0.33
Oct,2021,0.25
Oct,2022,0.22
Nov,2015,0.22
Nov,2016,0.06
Nov,2017,0.09
Nov,2018,0.08
Nov,2019,0.15
Nov,2020,0.26
Nov,2021,0.25
Nov,2022,0.25
Dec,2015,0.03
Dec,2016,0.11
Dec,2017,0.08
Dec,2018,0.11
Dec,2019,0.21
Dec,2020,0.24
Dec,2021,0.3
Dec,2022,0.26
